2025-05-25 22:05:45 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:45 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:46 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:46 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:46 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:46 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:47 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:47 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:47 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:47 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:47 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:48 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:48 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:49 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:49 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:49 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:49 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:50 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:50 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:50 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:50 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:51 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:51 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:51 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:51 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:51 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:52 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:05:52 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:52 | Src: 192.168.1.220 | Dst: 172.217.218.188 | Label: normal
2025-05-25 22:05:53 | Src: 172.217.218.188 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:05:55 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:05:55 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:01 | Src: 192.168.1.220 | Dst: 52.123.137.103 | Label: normal
2025-05-25 22:06:01 | Src: 192.168.1.220 | Dst: 52.123.137.103 | Label: normal
2025-05-25 22:06:01 | Src: 52.123.137.103 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:01 | Src: 52.123.137.103 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:02 | Src: 192.168.1.220 | Dst: 52.123.137.103 | Label: normal
2025-05-25 22:06:02 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:02 | Src: 52.123.137.103 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:02 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:02 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:03 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:08 | Src: 3.33.252.61 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:08 | Src: 192.168.1.220 | Dst: 3.33.252.61 | Label: normal
2025-05-25 22:06:08 | Src: 3.33.252.61 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:11 | Src: 192.168.1.220 | Dst: 192.168.1.131 | Label: normal
2025-05-25 22:06:11 | Src: 192.168.1.220 | Dst: 192.168.1.131 | Label: normal
2025-05-25 22:06:12 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:06:12 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:06:12 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:06:12 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:06:12 | Src: 192.168.1.131 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:13 | Src: 192.168.1.131 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:13 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:13 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:13 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:13 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:14 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:06:14 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:14 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:06:14 | Src: 20.42.73.24 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:14 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:14 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:15 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:15 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:15 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:15 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:15 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:16 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:16 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:16 | Src: 192.168.1.220 | Dst: 20.42.73.24 | Label: normal
2025-05-25 22:06:16 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:16 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:16 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:17 | Src: 52.123.129.14 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:17 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:17 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:17 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:17 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:18 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:18 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:19 | Src: 52.123.129.14 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:19 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:20 | Src: 192.168.1.220 | Dst: 172.64.155.209 | Label: normal
2025-05-25 22:06:20 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:20 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:20 | Src: 172.64.155.209 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:20 | Src: 192.168.1.220 | Dst: 172.64.155.209 | Label: normal
2025-05-25 22:06:21 | Src: 172.64.155.209 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:23 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:23 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:23 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:24 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:24 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:24 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:24 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:24 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:24 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:25 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:25 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:25 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:25 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:25 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:25 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:26 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:26 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:26 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:26 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:26 | Src: 192.168.1.220 | Dst: 142.250.180.138 | Label: normal
2025-05-25 22:06:26 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:27 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:27 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:27 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:27 | Src: 142.250.180.138 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:27 | Src: 142.250.180.164 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:28 | Src: 192.168.1.220 | Dst: 142.250.180.164 | Label: normal
2025-05-25 22:06:28 | Src: 192.168.1.220 | Dst: 52.112.100.76 | Label: normal
2025-05-25 22:06:28 | Src: 192.168.1.220 | Dst: 52.112.100.76 | Label: normal
2025-05-25 22:06:28 | Src: 52.112.100.76 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:28 | Src: 192.168.1.220 | Dst: 52.112.100.76 | Label: normal
2025-05-25 22:06:28 | Src: 52.112.100.76 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:29 | Src: 192.168.1.220 | Dst: 52.112.100.76 | Label: normal
2025-05-25 22:06:29 | Src: 52.112.100.76 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:29 | Src: 52.112.100.76 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:29 | Src: 192.168.1.220 | Dst: 52.112.100.76 | Label: normal
2025-05-25 22:06:29 | Src: 192.168.1.220 | Dst: 52.112.100.76 | Label: normal
2025-05-25 22:06:29 | Src: 52.112.100.76 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:30 | Src: 52.112.100.76 | Dst: 192.168.1.220 | Label: normal
2025-05-25 22:06:30 | Src: 192.168.1.220 | Dst: 52.112.100.76 | Label: normal
